year,month,day,temp_category,precip_category,cloud_cover_category,wind_speed_category,sunshine_category,state1
2010,1,1,Low,Low,Low,Medium,Medium,Low-Low
2010,1,2,Low,Medium,Medium,Medium,Medium,Low-Medium
2010,1,3,Low,High,Low,Low,High,Low-High
2010,1,4,Low,Low,High,Low,High,Low-Low
2010,1,5,Low,Low,High,Low,High,Low-Low
2010,1,6,Low,Low,High,Low,High,Low-Low
2010,1,7,Low,Low,Low,Low,High,Low-Low
2010,1,8,Low,Low,Medium,Medium,Medium,Low-Low
2010,1,9,Low,High,High,High,Low,Low-High
2010,1,10,Low,Medium,Medium,Medium,Medium,Low-Medium
2010,1,11,Low,Low,High,Low,Low,Low-Low
2010,1,12,Low,Medium,Medium,Low,Medium,Low-Medium
2010,1,13,Low,Medium,Medium,Medium,Low,Low-Medium
2010,1,14,Low,Low,Low,Low,High,Low-Low
2010,1,15,Low,Low,Medium,Low,High,Low-Low
2010,1,16,Low,High,High,Medium,Medium,Low-High
2010,1,17,Medium,High,Medium,Medium,Medium,Medium-High
2010,1,18,Medium,Low,High,Medium,Low,Medium-Low
2010,1,19,Medium,Medium,High,Low,Low,Medium-Medium
2010,1,20,Medium,Low,High,Medium,Medium,Medium-Low
2010,1,21,Medium,Low,High,Low,Low,Medium-Low
2010,1,22,Medium,Low,High,Low,Medium,Medium-Low
2010,1,23,Medium,Medium,High,Low,Low,Medium-Medium
2010,1,24,Low,Medium,High,Low,Low,Low-Medium
2010,1,25,Low,Low,High,Low,Low,Low-Low
2010,1,26,Low,Low,Low,Medium,High,Low-Low
2010,1,27,Low,High,Medium,Medium,Low,Low-High
2010,1,28,Medium,Medium,Low,Medium,High,Medium-Medium
2010,1,29,Low,High,Medium,High,Low,Low-High
2010,1,30,Low,High,Medium,Medium,High,Low-High
2010,1,31,Low,Medium,Low,Medium,High,Low-Medium
2011,1,1,Low,Medium,Medium,Medium,Low,Low-Medium
2011,1,2,Low,Low,Low,Low,High,Low-Low
