latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.42355,5.533454,23.0,0,GMT,GMT

time,temperature_2m (°C),weather_code (wmo code),cloud_cover (%),precipitation (mm),wind_speed_10m (km/h),sunshine_duration (s)
2024-01-01T00:00,8.4,3,100,0.00,31.1,0.00
2024-01-01T01:00,6.7,53,100,0.70,30.0,0.00
2024-01-01T02:00,6.2,61,95,1.30,27.7,0.00
2024-01-01T03:00,6.3,53,96,0.90,28.3,0.00
2024-01-01T04:00,7.0,3,100,0.00,28.8,0.00
2024-01-01T05:00,7.0,2,54,0.00,28.8,0.00
2024-01-01T06:00,6.4,3,98,0.00,26.7,0.00
2024-01-01T07:00,6.5,2,79,0.00,26.3,0.00
2024-01-01T08:00,6.7,3,100,0.00,25.6,0.00
2024-01-01T09:00,7.2,3,98,0.00,25.9,0.00
2024-01-01T10:00,7.3,3,91,0.00,23.1,934.34
2024-01-01T11:00,7.8,3,87,0.00,23.7,3600.00
2024-01-01T12:00,8.3,51,18,0.10,23.6,3600.00
2024-01-01T13:00,7.9,51,26,0.10,27.2,3600.00
2024-01-01T14:00,8.0,51,20,0.10,26.0,3600.00
2024-01-01T15:00,7.6,2,55,0.00,24.0,3383.38
2024-01-01T16:00,6.7,2,77,0.00,21.3,0.00
2024-01-01T17:00,6.5,3,100,0.00,19.1,0.00
2024-01-01T18:00,6.3,3,100,0.00,18.1,0.00
2024-01-01T19:00,6.0,3,100,0.00,16.2,0.00
2024-01-01T20:00,6.0,3,100,0.00,15.5,0.00
2024-01-01T21:00,6.7,3,100,0.00,16.9,0.00
2024-01-01T22:00,6.8,3,100,0.00,17.3,0.00
2024-01-01T23:00,7.2,51,100,0.30,19.2,0.00
2024-01-02T00:00,7.4,55,100,1.10,21.6,0.00
2024-01-02T01:00,7.2,63,100,2.70,24.9,0.00
2024-01-02T02:00,7.2,61,100,2.20,25.7,0.00
2024-01-02T03:00,8.2,61,100,1.50,25.7,0.00
2024-01-02T04:00,9.1,61,100,1.60,29.1,0.00
2024-01-02T05:00,10.1,55,100,1.00,30.4,0.00
2024-01-02T06:00,11.0,51,100,0.20,30.0,0.00
2024-01-02T07:00,11.3,51,100,0.10,27.6,0.00
2024-01-02T08:00,11.5,51,100,0.10,25.5,0.00
2024-01-02T09:00,11.4,51,100,0.10,22.9,0.00
2024-01-02T10:00,11.5,51,100,0.10,22.4,0.00
2024-01-02T11:00,11.5,51,100,0.20,23.4,0.00
2024-01-02T12:00,11.0,53,100,0.70,24.7,0.00
2024-01-02T13:00,10.0,61,100,1.80,23.9,0.00
2024-01-02T14:00,10.7,55,100,1.10,27.7,0.00
2024-01-02T15:00,10.8,53,100,0.90,29.0,0.00
2024-01-02T16:00,10.6,61,100,1.80,30.6,0.00
2024-01-02T17:00,11.1,61,100,1.60,34.2,0.00
2024-01-02T18:00,11.8,51,100,0.20,35.6,0.00
2024-01-02T19:00,11.4,3,94,0.00,33.7,0.00
2024-01-02T20:00,10.8,1,39,0.00,36.3,0.00
2024-01-02T21:00,10.0,1,26,0.00,35.4,0.00
2024-01-02T22:00,9.8,1,25,0.00,35.7,0.00
2024-01-02T23:00,9.5,1,34,0.00,35.0,0.00
2024-01-03T00:00,9.2,0,19,0.00,29.0,0.00
2024-01-03T01:00,9.1,1,30,0.00,31.2,0.00
2024-01-03T02:00,8.9,1,31,0.00,32.0,0.00
2024-01-03T03:00,8.5,51,100,0.20,29.2,0.00
2024-01-03T04:00,9.0,53,49,0.80,30.3,0.00
2024-01-03T05:00,8.7,3,89,0.00,26.9,0.00
2024-01-03T06:00,8.5,61,100,1.30,26.0,0.00
2024-01-03T07:00,8.5,55,100,1.10,24.7,0.00
2024-01-03T08:00,8.5,61,100,1.90,26.0,0.00
2024-01-03T09:00,8.5,61,100,1.30,28.0,0.00
2024-01-03T10:00,8.8,1,36,0.00,27.8,0.00
2024-01-03T11:00,9.5,3,100,0.00,29.0,3600.00
2024-01-03T12:00,9.5,51,95,0.30,26.3,0.00
2024-01-03T13:00,9.6,51,99,0.10,26.2,181.57
2024-01-03T14:00,9.7,3,99,0.00,21.8,223.21
2024-01-03T15:00,9.0,53,100,0.70,25.1,1317.56
2024-01-03T16:00,8.5,53,100,0.50,21.2,0.00
2024-01-03T17:00,8.4,2,58,0.00,19.9,0.00
2024-01-03T18:00,7.9,51,98,0.40,19.8,0.00
2024-01-03T19:00,7.9,51,100,0.10,18.7,0.00
2024-01-03T20:00,8.3,51,96,0.30,23.5,0.00
2024-01-03T21:00,7.7,51,100,0.20,20.3,0.00
2024-01-03T22:00,7.6,53,100,0.50,21.1,0.00
2024-01-03T23:00,7.5,51,99,0.20,21.0,0.00
2024-01-04T00:00,7.6,51,100,0.10,22.0,0.00
2024-01-04T01:00,7.8,51,100,0.30,19.1,0.00
2024-01-04T02:00,7.8,51,100,0.10,20.2,0.00
2024-01-04T03:00,7.8,51,97,0.20,18.8,0.00
2024-01-04T04:00,7.7,51,99,0.20,20.2,0.00
2024-01-04T05:00,7.6,51,100,0.10,20.7,0.00
2024-01-04T06:00,7.3,51,89,0.10,19.6,0.00
2024-01-04T07:00,7.2,51,100,0.20,16.4,0.00
2024-01-04T08:00,7.0,51,100,0.10,18.0,0.00
2024-01-04T09:00,6.9,51,100,0.40,19.3,0.00
2024-01-04T10:00,7.3,51,100,0.10,18.7,0.00
2024-01-04T11:00,7.8,51,100,0.30,17.7,0.00
2024-01-04T12:00,7.8,51,100,0.30,20.8,0.00
2024-01-04T13:00,7.8,51,94,0.10,20.0,0.00
2024-01-04T14:00,8.0,3,100,0.00,17.1,2347.21
