latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.42355,5.533454,23.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),sunshine_duration (s)
2025-04-01T00:00,5.4,0.00,0,9.9,0.00
2025-04-01T01:00,4.9,0.00,0,10.0,0.00
2025-04-01T02:00,4.4,0.00,0,9.6,0.00
2025-04-01T03:00,4.0,0.00,0,9.9,0.00
2025-04-01T04:00,3.6,0.00,0,10.0,0.00
2025-04-01T05:00,3.3,0.00,0,10.2,0.00
2025-04-01T06:00,3.0,0.00,0,10.3,0.00
2025-04-01T07:00,2.7,0.00,0,10.6,0.00
2025-04-01T08:00,2.9,0.00,0,11.1,194.43
2025-04-01T09:00,4.5,0.00,0,9.0,3600.00
2025-04-01T10:00,6.7,0.00,0,9.1,3600.00
2025-04-01T11:00,9.1,0.00,0,9.9,3600.00
2025-04-01T12:00,10.9,0.00,0,14.7,3600.00
2025-04-01T13:00,12.1,0.00,1,20.9,3600.00
2025-04-01T14:00,12.6,0.00,7,20.1,3600.00
2025-04-01T15:00,13.4,0.00,30,21.5,3600.00
2025-04-01T16:00,13.5,0.00,31,21.8,3600.00
2025-04-01T17:00,13.4,0.00,99,21.3,3600.00
2025-04-01T18:00,12.9,0.00,47,19.4,2528.54
2025-04-01T19:00,12.5,0.00,7,15.8,3600.00
2025-04-01T20:00,10.9,0.00,1,15.3,2344.47
2025-04-01T21:00,10.0,0.00,0,17.4,0.00
2025-04-01T22:00,9.2,0.00,0,16.5,0.00
2025-04-01T23:00,8.7,0.00,0,17.2,0.00
2025-04-02T00:00,7.9,0.00,0,15.2,0.00
2025-04-02T01:00,7.4,0.00,0,14.4,0.00
2025-04-02T02:00,7.1,0.00,0,14.1,0.00
2025-04-02T03:00,7.4,0.00,0,14.7,0.00
2025-04-02T04:00,6.9,0.00,0,15.4,0.00
2025-04-02T05:00,6.4,0.00,0,15.0,0.00
2025-04-02T06:00,6.0,0.00,0,14.7,0.00
2025-04-02T07:00,5.7,0.00,23,14.6,0.00
2025-04-02T08:00,5.9,0.00,28,14.8,289.49
2025-04-02T09:00,7.2,0.00,16,13.0,3600.00
2025-04-02T10:00,8.9,0.00,29,15.6,3600.00
2025-04-02T11:00,10.8,0.00,13,15.1,3600.00
2025-04-02T12:00,12.7,0.00,32,15.9,3600.00
2025-04-02T13:00,14.4,0.00,38,17.9,3600.00
2025-04-02T14:00,15.6,0.00,23,21.0,3600.00
2025-04-02T15:00,16.8,0.00,27,24.5,3600.00
2025-04-02T16:00,17.2,0.00,74,24.2,3600.00
2025-04-02T17:00,16.9,0.00,89,23.1,3600.00
2025-04-02T18:00,16.8,0.00,48,20.2,3600.00
2025-04-02T19:00,15.6,0.00,85,19.5,3600.00
2025-04-02T20:00,14.4,0.00,20,19.7,1648.80
2025-04-02T21:00,13.4,0.00,9,19.3,0.00
2025-04-02T22:00,12.6,0.00,0,18.1,0.00
2025-04-02T23:00,11.8,0.00,2,17.5,0.00
2025-04-03T00:00,11.2,0.00,44,15.8,0.00
2025-04-03T01:00,10.5,0.00,22,14.1,0.00
2025-04-03T02:00,9.7,0.00,3,13.3,0.00
2025-04-03T03:00,10.0,0.00,10,13.0,0.00
2025-04-03T04:00,9.5,0.00,4,13.8,0.00
2025-04-03T05:00,9.1,0.00,18,14.4,0.00
2025-04-03T06:00,8.9,0.00,37,15.2,0.00
2025-04-03T07:00,8.7,0.00,4,15.8,0.00
2025-04-03T08:00,9.1,0.00,5,15.5,494.69
2025-04-03T09:00,10.6,0.00,20,11.9,3600.00
2025-04-03T10:00,12.4,0.00,14,13.4,3600.00
2025-04-03T11:00,14.1,0.00,1,15.5,3600.00
2025-04-03T12:00,15.7,0.00,1,16.5,3600.00
2025-04-03T13:00,17.1,0.00,0,17.6,3600.00
2025-04-03T14:00,18.2,0.00,0,17.9,3600.00
2025-04-03T15:00,19.8,0.00,0,16.2,3600.00
2025-04-03T16:00,20.1,0.00,0,15.5,3600.00
2025-04-03T17:00,20.1,0.00,0,14.4,3600.00
2025-04-03T18:00,19.7,0.00,0,13.0,3600.00
2025-04-03T19:00,18.6,0.00,0,10.3,3600.00
2025-04-03T20:00,16.4,0.00,0,10.3,2540.38
2025-04-03T21:00,15.0,0.00,0,10.0,0.00
2025-04-03T22:00,13.7,0.00,0,9.2,0.00
2025-04-03T23:00,12.6,0.00,0,10.3,0.00
2025-04-04T00:00,12.0,0.00,0,10.8,0.00
2025-04-04T01:00,11.4,0.00,0,10.5,0.00
2025-04-04T02:00,10.7,0.00,0,10.0,0.00
2025-04-04T03:00,10.8,0.00,0,9.6,0.00
2025-04-04T04:00,10.0,0.00,0,8.8,0.00
2025-04-04T05:00,9.3,0.00,0,8.4,0.00
2025-04-04T06:00,8.5,0.00,0,8.7,0.00
2025-04-04T07:00,7.8,0.00,0,8.2,0.00
2025-04-04T08:00,7.9,0.00,0,8.9,938.53
2025-04-04T09:00,9.9,0.00,0,7.6,3600.00
2025-04-04T10:00,12.7,0.00,0,5.5,3600.00
2025-04-04T11:00,15.6,0.00,0,5.5,3600.00
2025-04-04T12:00,18.3,0.00,0,7.3,3600.00
2025-04-04T13:00,20.1,0.00,0,10.4,3600.00
2025-04-04T14:00,20.9,0.00,0,11.9,3600.00
2025-04-04T15:00,22.2,0.00,0,11.5,3600.00
2025-04-04T16:00,22.3,0.00,0,11.5,3600.00
2025-04-04T17:00,22.0,0.00,0,11.3,3600.00
2025-04-04T18:00,21.2,0.00,0,12.0,3600.00
2025-04-04T19:00,20.0,0.00,0,10.7,3600.00
