latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
51.42355,5.533454,23.0,7200,Europe/Berlin,GMT+2

time,temperature_2m (°C),precipitation (mm),cloud_cover (%),wind_speed_10m (km/h),sunshine_duration (s)
2024-07-01T00:00,15.4,0.10,83,9.5,0.00
2024-07-01T01:00,14.8,0.10,70,11.4,0.00
2024-07-01T02:00,13.7,0.00,75,9.5,0.00
2024-07-01T03:00,13.9,0.00,91,11.8,0.00
2024-07-01T04:00,13.3,0.00,28,13.3,0.00
2024-07-01T05:00,12.4,0.00,7,12.6,0.00
2024-07-01T06:00,11.9,0.00,2,11.3,0.00
2024-07-01T07:00,12.6,0.00,27,11.5,3259.34
2024-07-01T08:00,13.6,0.10,38,13.2,3600.00
2024-07-01T09:00,14.6,0.10,91,13.8,3600.00
2024-07-01T10:00,15.5,0.10,84,12.2,3600.00
2024-07-01T11:00,16.6,0.00,85,13.4,3600.00
2024-07-01T12:00,17.3,0.00,92,14.9,3600.00
2024-07-01T13:00,18.0,0.10,96,16.5,3600.00
2024-07-01T14:00,18.0,0.20,99,18.3,3600.00
2024-07-01T15:00,18.4,0.10,85,18.0,3600.00
2024-07-01T16:00,18.4,0.00,100,18.9,3600.00
2024-07-01T17:00,18.0,0.00,100,17.6,3600.00
2024-07-01T18:00,17.1,0.00,99,14.2,0.00
2024-07-01T19:00,17.6,0.00,99,14.7,3.70
2024-07-01T20:00,16.9,0.00,43,11.6,0.00
2024-07-01T21:00,16.5,0.00,45,9.8,3600.00
2024-07-01T22:00,14.7,0.00,99,6.9,39.03
2024-07-01T23:00,14.3,0.00,29,8.7,0.00
2024-07-02T00:00,13.4,0.00,38,8.2,0.00
2024-07-02T01:00,12.7,0.00,91,8.9,0.00
2024-07-02T02:00,12.8,0.00,98,11.5,0.00
2024-07-02T03:00,13.9,0.00,100,12.1,0.00
2024-07-02T04:00,14.5,0.00,100,12.8,0.00
2024-07-02T05:00,14.4,0.10,100,12.8,0.00
2024-07-02T06:00,14.3,0.20,100,13.0,0.00
2024-07-02T07:00,14.3,0.50,100,12.9,0.00
2024-07-02T08:00,14.1,0.60,100,14.0,0.00
2024-07-02T09:00,14.6,0.30,100,14.1,0.00
2024-07-02T10:00,15.0,0.30,100,15.8,0.00
2024-07-02T11:00,15.0,0.30,100,13.7,0.00
2024-07-02T12:00,14.9,0.20,100,11.6,0.00
2024-07-02T13:00,15.0,0.40,100,13.8,0.00
2024-07-02T14:00,14.9,0.40,100,14.5,0.00
2024-07-02T15:00,15.4,0.00,100,15.1,0.00
2024-07-02T16:00,16.0,0.10,100,16.1,0.00
2024-07-02T17:00,16.0,0.00,100,14.0,0.00
2024-07-02T18:00,16.3,0.00,77,15.8,2090.79
2024-07-02T19:00,16.1,0.00,83,15.0,3600.00
2024-07-02T20:00,15.5,0.00,98,13.8,3600.00
2024-07-02T21:00,14.9,0.00,48,10.9,297.78
2024-07-02T22:00,13.7,0.00,100,10.5,0.00
2024-07-02T23:00,13.7,0.00,3,11.0,0.00
2024-07-03T00:00,11.9,0.00,2,5.9,0.00
2024-07-03T01:00,10.3,0.00,4,5.7,0.00
2024-07-03T02:00,9.7,0.00,7,5.4,0.00
2024-07-03T03:00,10.4,0.00,100,7.2,0.00
2024-07-03T04:00,11.1,0.00,70,6.7,0.00
2024-07-03T05:00,10.5,0.00,87,7.0,0.00
2024-07-03T06:00,10.1,0.00,100,6.0,0.00
2024-07-03T07:00,11.1,0.00,100,7.1,1545.53
2024-07-03T08:00,12.5,0.00,100,7.5,0.00
2024-07-03T09:00,13.0,0.00,100,9.5,0.00
2024-07-03T10:00,13.6,0.20,100,12.3,0.00
2024-07-03T11:00,13.5,0.60,100,13.5,0.00
2024-07-03T12:00,13.0,1.80,100,13.6,0.00
2024-07-03T13:00,13.1,1.90,100,13.6,0.00
2024-07-03T14:00,13.4,0.80,100,13.7,0.00
2024-07-03T15:00,13.3,0.30,100,13.8,0.00
2024-07-03T16:00,14.5,0.30,85,13.8,0.00
2024-07-03T17:00,16.0,0.00,100,12.7,3600.00
2024-07-03T18:00,16.3,0.00,100,11.7,1704.32
2024-07-03T19:00,15.2,0.70,100,13.5,443.26
2024-07-03T20:00,14.0,0.50,94,6.6,0.00
2024-07-03T21:00,14.4,0.00,100,12.8,0.00
2024-07-03T22:00,13.9,0.00,100,14.0,0.00
2024-07-03T23:00,14.0,0.00,85,16.3,0.00
2024-07-04T00:00,13.9,0.00,100,17.4,0.00
2024-07-04T01:00,14.1,0.10,100,18.4,0.00
2024-07-04T02:00,14.1,0.50,100,18.8,0.00
2024-07-04T03:00,14.8,0.20,100,20.7,0.00
2024-07-04T04:00,14.9,0.00,99,20.7,0.00
2024-07-04T05:00,14.9,0.00,100,20.6,0.00
2024-07-04T06:00,14.6,0.10,80,19.2,0.00
2024-07-04T07:00,14.4,0.80,100,18.2,959.46
2024-07-04T08:00,14.3,0.30,100,15.3,0.00
2024-07-04T09:00,15.2,0.10,100,12.3,0.00
2024-07-04T10:00,15.4,0.10,45,12.8,0.00
2024-07-04T11:00,16.7,0.10,43,16.9,3600.00
2024-07-04T12:00,17.3,0.10,28,16.5,3600.00
2024-07-04T13:00,18.6,0.10,14,21.7,3600.00
2024-07-04T14:00,18.7,0.00,16,21.9,3600.00
2024-07-04T15:00,18.4,0.00,35,23.1,3600.00
2024-07-04T16:00,18.3,0.00,34,22.7,3600.00
2024-07-04T17:00,18.4,0.00,51,22.7,3600.00
2024-07-04T18:00,17.8,0.00,35,20.2,3600.00
2024-07-04T19:00,17.5,0.00,88,19.1,3600.00
2024-07-04T20:00,16.5,0.00,22,15.5,3600.00
